datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-06-22 09:00:00,0.2,0.2,0.2,0.2,2,416,COPPER,COPPER26JUN800CE,1200.0,2026-06-23,OPT,PE,0.663540623388774,-0.011214204166758163,0.0005736566114035509,0.022785215159978882,-0.5948425916576942,-6.963470319612413e-06,-0.09959063133310432,-9.489870217744565,17.59128376016305,-2.594864827355473e-05,0.003564366598159249,0.3396441610241231,2003.462679964026,56.27153618156147,0.012420053752877221,0.0006849003564454218
2026-06-22 09:00:00,0.6,0.6,0.22,0.22,11,869,COPPER,COPPER26JUN800CE,1250.0,2026-06-23,OPT,PE,0.39476591679830286,-0.019524323040876645,0.0015532015262763302,0.03670295849106502,-0.5700620481810624,-7.659817351571415e-06,-0.24519167820273668,-13.900155122955344,39.148362743764174,-0.00010612972693879116,0.012632377849643937,0.716141807784551,2746.437376903238,120.04854414109374,0.02065623389695735,0.0017090141705290377
2026-06-22 09:00:00,6.5,6.5,1.36,4.0,9,831,COPPER,COPPER26JUN800CE,1300.0,2026-06-23,OPT,PE,0.2747748393725936,-0.2955632780401084,0.01624426727896619,0.26718415764370984,-2.8884780589948362,-0.00013926940639269011,-0.6547823777184487,-25.837364762549885,27.21467836704392,-0.00042287242009028057,-0.042572481912058896,-1.679887519028341,4910.816456678194,-269.50354883619775,0.3011865924355308,0.016525374228108777
2026-06-22 09:00:00,9.54,9.54,9.2,9.2,2,184,COPPER,COPPER26JUN800CE,1310.0,2026-06-23,OPT,CE,0.27832421202322466,0.5255004199175141,0.018488592271550964,0.3080267598904844,-3.3730349598132228,-0.00032031963470321377,-0.06800442050533662,-2.7180810547687866,0.3365404557952016,-6.90191025287727e-05,-0.06622625634176939,-2.647009287825613,4436.91750349018,-3.7310708594175503,-0.5189588935846137,0.01852248001566531
2026-06-22 09:00:00,2.11,5.29,2.11,4.51,6,319,COPPER,COPPER26JUN800CE,1320.0,2026-06-23,OPT,CE,0.26371083469952905,0.3364806909819688,0.01788664369835536,0.28235172386861723,-2.929542640534189,-0.00015702625570776423,0.6056481281795328,22.936261100458097,19.778317867117863,0.0003563879778297868,-0.055297402837780424,-2.0941461067119427,4803.772769194022,-211.24395009458232,-0.33082081970875565,0.01764895007765278
2026-06-22 09:00:00,2.98,3.0,2.98,3.0,3,378,COPPER,COPPER26JUN800CE,1330.0,2026-06-23,OPT,CE,0.3092833412050368,0.22036656201279578,0.012385692766382156,0.2293033743072674,-2.7902838198822626,-0.00010445205479452254,0.7562705497957273,33.58984410923187,45.11006806172894,0.00038960313417925546,-0.01568047757377355,-0.6964502285638727,5296.515718441331,-348.89694378161363,-0.21499596700088555,0.012038015608481828
2026-06-22 09:01:00,0.2,0.2,0.2,0.2,0,416,COPPER,COPPER26JUN800CE,1200.0,2026-06-23,OPT,PE,0.6597315159584234,-0.011282270284156298,0.0005805288226834154,0.022884978429605313,-0.5943421480955888,-6.959665144624752e-06,-0.10060102987550226,-9.536330925098008,17.736000285114343,-2.6405748079345874e-05,0.003619187315359442,0.34307569178861114,2010.0817937999816,56.79614769216493,0.012486811798046981,0.0006922491564280977
2026-06-22 09:01:00,0.49,0.49,0.49,0.49,1,868,COPPER,COPPER26JUN800CE,1250.0,2026-06-23,OPT,PE,0.4461973035996636,-0.03548433718560683,0.0022656914826447955,0.06040699095529516,-1.061042879586212,-1.705117960422107e-05,-0.3116330543224987,-19.97938487876561,43.49742337057568,-0.00012034258508637503,0.01123684577942383,0.7204154486709506,3656.6604266545187,20.737849993449956,0.03759065648371693,0.0024898998921826392
2026-06-22 09:01:00,1.0,1.0,0.77,0.78,6,122,COPPER,COPPER26JUN800CE,1270.0,2026-06-23,OPT,PE,0.3528978534530083,-0.06497078276435311,0.004646422635952405,0.09797769462303096,-1.3611156394474697,-2.7142694063981874e-05,-0.5364237625297807,-27.199985977043287,62.79267073970198,-0.0002614813513569251,0.016611857290418766,0.8423233960053171,4591.76806857387,-131.40699959697733,0.0676512315169939,0.004946663963623423
2026-06-22 09:01:00,3.04,3.04,3.04,3.04,1,148,COPPER,COPPER26JUN800CE,1290.0,2026-06-23,OPT,PE,0.33124767178922965,-0.20829680065948197,0.01120162446681984,0.2217141099798742,-2.8911122781974448,-0.00010578691019786983,-0.6864786594258812,-32.6731894341726,43.10695890901539,-0.000363925078559859,-0.012037606569391637,-0.5729340517368825,5237.3914573766815,-306.6714632604601,0.21394577102029347,0.011558533303982212
