datetime,open,high,low,close,volume,oi,name,symbol,expiry,contract_type
2026-07-17 09:15:00,1303.0,1305.0,1296.9,1305.0,245500.0,105088000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:16:00,1304.9,1308.2,1304.2,1307.8,170500.0,105137000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:17:00,1308.2,1311.3,1307.6,1311.1,259500.0,105165500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:18:00,1310.7,1312.0,1309.7,1311.1,174000.0,105196500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:19:00,1310.7,1311.5,1309.8,1310.0,174500.0,105256000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:20:00,1310.5,1312.5,1309.7,1309.9,192000.0,105312000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:21:00,1310.1,1313.0,1310.1,1312.4,236500.0,105348500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:22:00,1312.2,1313.5,1311.1,1312.0,116500.0,105372500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:23:00,1312.5,1312.8,1310.6,1310.6,91500.0,105396500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:24:00,1311.0,1312.3,1310.4,1311.5,201500.0,105403000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:25:00,1311.3,1313.0,1311.1,1312.7,99000.0,105431000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:26:00,1312.3,1312.3,1310.0,1310.0,45000.0,105463000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:27:00,1310.8,1312.8,1310.1,1312.8,78000.0,105425000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:28:00,1311.9,1313.5,1311.6,1313.0,168000.0,105434500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:29:00,1313.0,1313.5,1312.4,1312.7,40500.0,105457000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:30:00,1312.6,1313.3,1312.0,1312.4,96500.0,105470000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:31:00,1312.1,1312.1,1310.2,1310.4,50500.0,105440500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:32:00,1310.4,1310.4,1309.1,1309.1,50500.0,105446500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:33:00,1309.4,1309.5,1308.3,1308.5,61000.0,105454500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:34:00,1308.5,1308.8,1308.0,1308.0,43000.0,105471000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:35:00,1308.2,1309.4,1308.1,1308.7,23000.0,105485000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:36:00,1308.7,1309.4,1308.6,1309.1,21000.0,105474500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:37:00,1309.1,1310.8,1308.4,1310.8,68000.0,105514000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:38:00,1310.5,1313.7,1310.0,1313.4,122500.0,105530000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:39:00,1313.5,1313.5,1311.7,1313.3,111500.0,105599000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:40:00,1313.1,1314.4,1312.9,1313.9,153000.0,105620000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:41:00,1313.9,1315.0,1312.6,1314.0,353000.0,105669500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:42:00,1314.0,1317.2,1313.9,1316.8,430000.0,105729000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:43:00,1317.0,1318.9,1316.8,1317.1,323500.0,105873500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:44:00,1317.1,1318.3,1316.4,1318.0,104500.0,105900000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:45:00,1318.0,1318.7,1317.0,1317.2,70500.0,105906000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:46:00,1317.3,1318.5,1316.6,1318.1,163000.0,105935000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:47:00,1318.6,1320.5,1318.6,1320.1,341500.0,105969000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:48:00,1320.1,1323.4,1320.1,1322.0,454000.0,105991000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:49:00,1322.3,1323.0,1320.5,1321.5,232000.0,106006500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:50:00,1322.0,1323.2,1321.4,1322.5,158000.0,106039500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:51:00,1322.5,1323.2,1321.0,1321.2,134000.0,106057500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:52:00,1321.1,1322.3,1320.7,1321.8,115500.0,106064000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:53:00,1322.0,1322.0,1320.8,1321.1,57000.0,106096000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:54:00,1321.0,1323.0,1321.0,1323.0,93500.0,106110000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:55:00,1323.0,1324.8,1323.0,1324.8,151000.0,106104000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:56:00,1324.6,1324.8,1322.5,1323.5,97000.0,106094000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:57:00,1323.4,1323.5,1321.0,1322.3,188500.0,106107000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:58:00,1322.4,1323.6,1322.1,1323.4,142000.0,106110000.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 09:59:00,1323.6,1323.6,1323.0,1323.2,45500.0,106076500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 10:00:00,1323.2,1323.8,1322.7,1322.7,60000.0,106087500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 10:01:00,1323.0,1323.2,1322.0,1323.2,79500.0,106095500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 10:02:00,1323.3,1323.3,1322.2,1322.5,41000.0,106109500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
2026-07-17 10:03:00,1322.5,1323.2,1320.5,1322.0,66000.0,106120500.0,RELIANCE,RELIANCE25JAN18FUT,2026-07-28,FUT
