datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side
2026-07-17 09:15:00,18.35,19.6,17.0,19.55,68000.0,5095500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:16:00,19.3,20.5,19.2,20.3,125000.0,5109000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:17:00,20.4,21.85,20.25,21.7,163500.0,5099000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:18:00,21.65,22.0,21.0,21.55,134000.0,5063000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:19:00,21.5,21.7,21.0,21.1,58000.0,5046500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:20:00,21.05,22.2,21.05,21.3,116000.0,5033000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:21:00,21.4,22.3,21.3,21.9,131500.0,5030000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:22:00,22.0,22.45,21.7,22.2,93000.0,4993000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:23:00,22.0,22.25,21.3,21.3,59500.0,5002000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:24:00,21.35,22.0,21.2,21.95,50000.0,5027500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:25:00,21.75,22.3,21.5,22.0,54500.0,5034000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:26:00,22.0,22.05,21.15,21.2,52000.0,5041500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:27:00,21.3,21.95,21.2,21.75,100500.0,5057000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:28:00,21.75,22.3,21.45,22.05,93000.0,4998000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:29:00,22.05,22.2,21.85,21.85,31000.0,4973500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:30:00,22.05,22.15,21.6,21.6,36000.0,4970500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:31:00,21.75,21.75,20.85,20.95,33000.0,4974500.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
2026-07-17 09:32:00,21.0,21.0,20.4,20.4,46500.0,4968000.0,RELIANCE,RELIANCE23JUN2214000CE,1320.0,2026-07-28,OPT,CE
