datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side
2026-07-17 09:15:00,3660.0,3660.0,3660.0,3660.0,0,0,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:18:00,3884.0,3908.8,3884.0,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:19:00,3908.8,3908.8,3908.8,3908.8,30,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:20:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:21:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:22:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:23:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:24:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:25:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:26:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:27:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:28:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:29:00,3908.8,3933.0,3908.8,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:30:00,3933.0,3933.0,3933.0,3933.0,60,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:31:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:32:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:33:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:34:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:35:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:36:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
2026-07-17 10:37:00,3933.0,3933.0,3933.0,3933.0,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE
