datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side
2026-07-17 09:21:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:22:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:23:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:24:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:25:00,2991.9,2992.2,2991.9,2992.2,130,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:26:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:27:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:28:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:29:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:30:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:31:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:32:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:33:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:34:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:35:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:36:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:37:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:38:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:39:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:40:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:41:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:42:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:43:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:44:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
2026-07-17 09:45:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE
