datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side
2026-07-17 09:15:00,3.1,3.1,3.1,3.1,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:18:00,3.0,3.1,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:19:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:20:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:21:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:23:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:24:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:25:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:26:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:27:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:28:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:29:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:30:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:31:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:32:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:33:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:34:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:35:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:36:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:37:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:38:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:39:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:40:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:41:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:42:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:43:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:44:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:45:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:47:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:48:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:49:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:50:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:51:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:52:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:53:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:54:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
2026-07-17 09:55:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE
