datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-07-17 09:15:00,3.1,3.1,3.1,3.1,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18707764558472817,0.010487986431813654,3.168910172067958e-05,1.302042910665778,-1.0815901817323528,-0.0009563641552510784,0.3477036050164197,1.0542400163942205,3761.5785161239123,8.224872343873188e-08,0.000746102337420628,0.0022621880506442974,13515.384128502092,48346.17588080989,-0.00960898891582248,2.719924379156984e-05
2026-07-17 09:18:00,3.0,3.1,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.1848005699192033,0.010288282857986117,3.1527029672823557e-05,1.2811928939607802,-1.051510778595347,-0.0009253424657544592,0.3471503414967493,1.039943318239654,3769.70540202162,8.306371602972696e-08,0.0007570321954995688,0.0022678087251988025,13369.585207228782,49717.27947788916,-0.00943419682362394,2.7098484349358046e-05
2026-07-17 09:19:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18330847072868095,0.01035689356312978,3.1947055126591054e-05,1.2894996179871419,-1.0498480423445669,-0.0009252853881290813,0.3515953665609258,1.044819411176107,3816.3916498517783,8.471563944767832e-08,0.0007712219151497334,0.002291803885684096,13431.427040760756,50487.09667193558,-0.009504513259398816,2.7497882937907626e-05
2026-07-17 09:20:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18435420776566386,0.010309137983323741,3.165441250238641e-05,1.2836519812168425,-1.0511140265991377,-0.000925228310503107,0.34848072202810815,1.0415356950581534,3783.4798732669,8.356359263992608e-08,0.0007612886977105359,0.002275332042172203,13389.110936955598,49942.97485645723,-0.00945557215606714,2.7219591742654227e-05
2026-07-17 09:21:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.1844883952013901,0.010303273813281149,3.1618568681072117e-05,1.2828988353650277,-1.0513268066284343,-0.0009251712328777642,0.3480896544470327,1.0411883679434053,3779.2408901273143,8.34228362717037e-08,0.0007600537613419537,0.0022734348039674156,13384.267816056898,49872.268057002155,-0.00944956186432631,2.7185511988691167e-05
2026-07-17 09:23:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18463230092868493,0.010297234652775036,3.15816761493406e-05,1.2820847972075757,-1.05160900590959,-0.0009250570776261316,0.34767671900290475,1.0408928404765665,3774.6515068303943,8.327804163609937e-08,0.0007587605614425152,0.0022716172607315007,13379.678280210357,49795.027577119494,-0.0094433720965271,2.715043657204884e-05
2026-07-17 09:24:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.1846379972588456,0.010297234652778889,3.158167614934904e-05,1.282045243170403,-1.0516738960127934,-0.0009250000000009816,0.3476659927093313,1.0409570693328543,3774.4186042884166,8.32780416361114e-08,0.0007587371526603672,0.0022717574321041495,13380.091073989961,49790.41898889616,-0.009443372096530626,2.7150436572056063e-05
2026-07-17 09:25:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18425412825261006,0.010315010061067137,3.169032468616581e-05,1.2841683321968576,-1.0512902680441154,-0.0009249429223740611,0.34880793342474964,1.042269206230349,3786.3243093245533,8.370469419274593e-08,0.0007623853859654239,0.002278075510697139,13396.438279597094,49986.052206830995,-0.009461590432690464,2.7253737870136297e-05
2026-07-17 09:26:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18323157462145295,0.010362273347346225,3.198010510658063e-05,1.289874973949521,-1.0501665775730373,-0.0009248858447477719,0.3518697629365797,1.045647704913041,3818.429486273002,8.484606675875853e-08,0.0007721763641276648,0.0022946684483477996,13439.134398863273,50515.2723783456,-0.009510026103244442,2.7529317806141646e-05
2026-07-17 09:27:00,3.0,3.0,3.0,3.0,0,0,FINNIFTY,FINNIFTY23JUN2214000CE,28800.0,2026-07-28,OPT,CE,0.18263065749539803,0.010390392550219158,3.215312533496915e-05,1.2932511569775182,-1.0495270169471802,-0.00092482876712313,0.35369228475149006,1.0476813137442622,3837.4775131600227,8.55299228153138e-08,0.0007780275433974202,0.0023046160573407764,13464.646427990656,50829.187566140594,-0.009538839174974941,2.7693901424128257e-05
