datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-07-17 09:21:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12342380420507115,0.7631995699797869,7.863853443705165e-05,98.11797198802233,-1.1440671096135684,-43.383062311643755,-1.4201960240637828,-0.060442733120777616,32359.509446874472,-1.7338984931735443e-08,-0.000377790856593776,-1.6078563475503745e-05,4760.5406637003125,-694051.1783048508,-0.7149858169051999,9.518182346409739e-05
2026-07-17 09:22:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12342388517819097,0.7631995699797869,7.863853443705164e-05,98.11790761702729,-1.1440686107618132,-43.38300538812777,-1.4201950923340558,-0.060442812428627646,32359.466987514646,-1.7338984931735443e-08,-0.0003777906087413911,-1.6078584572436906e-05,4760.543786889005,-694049.8122940758,-0.7149858169051999,9.518182346409739e-05
2026-07-17 09:23:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1234239661514702,0.7631995699797869,7.863853443705164e-05,98.11784324599,-1.1440701119139982,-43.382948464611836,-1.4201941606037172,-0.06044289173668579,32359.4245281548,-1.7338984931735437e-08,-0.0003777903608888436,-1.6078605669425435e-05,4760.546910083844,-694048.4462841965,-0.7149858169051998,9.518182346409736e-05
2026-07-17 09:24:00,2991.9,2991.9,2991.9,2991.9,0,29185,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12342404712490873,0.7631995699797869,7.863853443705164e-05,98.1177788749105,-1.1440716130701214,-43.38289154109581,-1.4201932288727683,-0.06044297104495205,32359.382068794985,-1.7338984931735443e-08,-0.00037779011303613343,-1.6078626766469316e-05,4760.550033284829,-694047.080275214,-0.7149858169051999,9.518182346409739e-05
2026-07-17 09:25:00,2991.9,2992.2,2991.9,2992.2,130,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345470207595617,0.7631561590248526,7.862698416024407e-05,98.12760479799465,-1.1444718694898852,-43.387184646118634,-1.4195400120920876,-0.060430255013530436,32338.128405798394,-1.7330064563524807e-08,-0.00037777270502476954,-1.6081900268632297e-05,4760.332385634996,-693487.5242109533,-0.7149255575291734,9.516784334079102e-05
2026-07-17 09:26:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345478306977187,0.7631561590248527,7.862698416024405e-05,98.12754042034202,-1.1444733711771036,-43.38712771689489,-1.4195390807878543,-0.06043033430542392,32338.085974270238,-1.7330064563524814e-08,-0.0003777724571829922,-1.608192137005446e-05,4760.335508703435,-693486.1593023819,-0.7149255575291735,9.5167843340791e-05
2026-07-17 09:27:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345486406374696,0.7631561590248527,7.862698416024407e-05,98.12747604264716,-1.1444748728682623,-43.387070787671135,-1.41953814948301,-0.06043041359752546,32338.043542742067,-1.7330064563524814e-08,-0.0003777722093410524,-1.6081942471532004e-05,4760.338631778022,-693484.7943947058,-0.7149255575291735,9.5167843340791e-05
2026-07-17 09:28:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345494505788181,0.7631561590248521,7.862698416024394e-05,98.12741166491021,-1.1444763745633666,-43.3870138584475,-1.4195372181775472,-0.06043049288983494,32338.001111213656,-1.7330064563524718e-08,-0.0003777719614989499,-1.6081963573064963e-05,4760.341754858754,-693483.4294879191,-0.7149255575291728,9.516784334079088e-05
2026-07-17 09:29:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.1234550260521758,0.7631561590248521,7.86269841602439e-05,98.12734728713093,-1.1444778762624082,-43.38695692922375,-1.4195362868714796,-0.06043057218235262,32337.958679685446,-1.733006456352469e-08,-0.00037777171365668474,-1.6081984674653264e-05,4760.344877945635,-693482.0645820329,-0.7149255575291726,9.516784334079082e-05
2026-07-17 09:30:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345510704662908,0.7631561590248521,7.862698416024393e-05,98.12728290930934,-1.1444793779653888,-43.386900000000004,-1.4195353555648031,-0.06043065147507844,32337.916248157308,-1.7330064563524704e-08,-0.0003777714658142571,-1.6082005776296928e-05,4760.348001038663,-693480.6996770437,-0.7149255575291728,9.516784334079086e-05
2026-07-17 09:31:00,2992.2,2992.2,2992.2,2992.2,0,29250,NIFTY,NIFTY23JUN2214000CE,24000.0,2027-12-28,OPT,CE,0.12345518804124149,0.7631561590248527,7.862698416024407e-05,98.12721853144544,-1.144480879672307,-43.38684307077616,-1.4195344242575225,-0.06043073076801247,32337.87381662939,-1.7330064563524814e-08,-0.0003777712179716671,-1.608202687799594e-05,4760.351124137839,-693479.3347729562,-0.7149255575291735,9.5167843340791e-05
