datetime,open,high,low,close,volume,oi,name,symbol,strike,expiry,contract_type,side,iv,delta,gamma,vega,theta,rho,vanna,charm,vomma,speed,zomma,color,veta,ultima,dual_delta,dual_gamma
2026-07-17 09:15:00,3660.0,3660.0,3660.0,3660.0,0,0,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.12887062608745709,0.7191003641497418,6.510819264522089e-05,135.47142628118496,-5.282053583657236,-16.571318493150716,-1.2909623836974626,-0.18372216381063278,30095.302109897733,-8.385017534804026e-09,-0.0003605819466533133,-5.131589913600601e-05,19243.335284842706,-639869.6519739352,-0.6891549701856875,7.146083302064576e-05
2026-07-17 10:18:00,3884.0,3908.8,3884.0,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13667904605696934,0.7218550091065519,6.090072828566326e-05,135.25600130969679,-5.594672016288576,-17.693120730593556,-1.2186368064014113,-0.1839861971419327,28902.42334483671,-7.519970846164392e-09,-0.0003154379014030464,-4.762388564723989e-05,19304.117403219938,-578747.6510776576,-0.6901954889582291,6.728897334799503e-05
2026-07-17 10:19:00,3908.8,3908.8,3908.8,3908.8,30,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13667933330493642,0.7218550091065525,6.090072828566342e-05,135.25571705303147,-5.594695532107559,-17.693046362252645,-1.2186342452904064,-0.1839869704823722,28902.30186116512,-7.519970846164458e-09,-0.00031543723847256717,-4.7624085822455184e-05,19304.15797321696,-578744.0021630902,-0.6901954889582298,6.72889733479952e-05
2026-07-17 10:20:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13667962055471558,0.721855009106552,6.090072828566326e-05,135.25543279576908,-5.594719048124281,-17.692971993911698,-1.2186316841740017,-0.18398774382931152,28902.180377492958,-7.519970846164395e-09,-0.00031543657554069257,-4.762428599935327e-05,19304.198543469745,-578740.3532561765,-0.6901954889582291,6.728897334799504e-05
2026-07-17 10:21:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13533925990139672,0.7250347777935018,6.1132798087332e-05,134.55104144210836,-5.511026327196833,-17.69289762557079,-1.249435374653118,-0.18678933860831917,30123.8833004299,-7.716565940328401e-09,-0.00031483358496793714,-4.7067306001459925e-05,19366.32187525267,-606389.2400751448,-0.6938558698410964,6.760176578831626e-05
2026-07-17 10:22:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13533954433722414,0.7250347777935019,6.113279808733203e-05,134.5507586634349,-5.511049491723989,-17.692823257229847,-1.2494327487821186,-0.18679012374096973,30123.75668107843,-7.716565940328413e-09,-0.00031483292329915666,-4.706750383972513e-05,19366.36257649333,-606385.4168364105,-0.6938558698410965,6.760176578831627e-05
2026-07-17 10:23:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13533982877484496,0.7250347777935019,6.113279808733203e-05,134.55047588416718,-5.511072656445884,-17.6927488888889,-1.2494301229056,-0.1867909088802205,30123.630061726915,-7.716565940328413e-09,-0.0003148322616289856,-4.7067701679653504e-05,19366.403277990612,-606381.5936057103,-0.6938558698410965,6.760176578831627e-05
2026-07-17 10:24:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13534011321425918,0.7250347777935019,6.113279808733202e-05,134.55019310430515,-5.511095821362516,-17.692674520547957,-1.2494274970235622,-0.18679169402607168,30123.503442375382,-7.716565940328406e-09,-0.0003148315999574239,-4.706789952124507e-05,19366.44397974451,-606377.7703830451,-0.6938558698410965,6.760176578831627e-05
2026-07-17 10:25:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13534039765546682,0.7250347777935018,6.1132798087332e-05,134.54991032384885,-5.511118986473891,-17.692600152207014,-1.2494248711360054,-0.18679247917852337,30123.376823023857,-7.716565940328404e-09,-0.00031483093828447154,-4.7068097364499815e-05,19366.484681755042,-606373.9471684148,-0.6938558698410964,6.760176578831626e-05
2026-07-17 10:26:00,3908.8,3908.8,3908.8,3908.8,0,900,BANKNIFTY,BANKNIFTY23JUN2214000CE,57000.0,2026-12-29,OPT,CE,0.13534068209846783,0.7250347777935018,6.113279808733202e-05,134.54962754279816,-5.511142151780008,-17.69252578386607,-1.2494222452429304,-0.1867932643375757,30123.25020367234,-7.716565940328404e-09,-0.0003148302766101286,-4.706829520941779e-05,19366.525384022196,-606370.12396182,-0.6938558698410964,6.760176578831626e-05
