datetime,open,high,low,close,volume,oi,name,symbol,contract_type
2026-06-22 09:00:00,1309.0,1312.35,1309.0,1311.2,85,12555,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:01:00,1311.05,1311.45,1310.8,1311.0,53,12563,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:02:00,1310.95,1311.05,1310.6,1311.0,15,12564,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:03:00,1310.8,1311.1,1310.6,1311.1,40,12578,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:04:00,1310.9,1311.45,1310.5,1311.45,18,12583,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:05:00,1311.35,1312.2,1311.35,1312.0,24,12584,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:06:00,1312.15,1312.15,1311.5,1311.5,14,12589,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:07:00,1311.8,1311.8,1311.5,1311.55,4,12590,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:08:00,1311.5,1311.5,1311.2,1311.5,18,12593,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:09:00,1311.45,1311.45,1311.2,1311.2,6,12592,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:10:00,1311.4,1311.45,1311.15,1311.45,9,12591,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:11:00,1311.1,1311.5,1311.0,1311.35,24,12605,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:12:00,1311.0,1311.0,1310.25,1310.25,12,12601,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:13:00,1310.1,1310.25,1310.0,1310.25,5,12605,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:14:00,1310.55,1310.55,1310.2,1310.25,10,12605,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:15:00,1310.2,1310.2,1309.75,1309.75,33,12590,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:16:00,1309.3,1309.55,1309.0,1309.55,12,12591,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:17:00,1309.5,1310.0,1309.5,1309.7,9,12588,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:18:00,1310.0,1310.0,1310.0,1310.0,2,12590,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:19:00,1310.3,1310.3,1310.3,1310.3,2,12590,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:20:00,1310.35,1310.65,1310.35,1310.65,8,12589,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:21:00,1310.1,1310.1,1310.05,1310.05,2,12586,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:22:00,1310.0,1310.0,1310.0,1310.0,1,12586,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:23:00,1310.0,1310.0,1310.0,1310.0,0,12586,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:24:00,1310.3,1310.65,1309.95,1309.95,17,12584,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:25:00,1309.85,1309.85,1309.35,1309.7,16,12594,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:26:00,1309.8,1309.8,1309.45,1309.45,2,12595,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:27:00,1309.3,1309.45,1309.1,1309.45,5,12597,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:28:00,1309.3,1309.5,1309.3,1309.3,7,12600,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:29:00,1309.7,1309.7,1309.7,1309.7,1,12600,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:30:00,1309.95,1310.0,1309.85,1309.9,14,12604,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:31:00,1310.2,1311.0,1310.1,1310.95,25,12602,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:32:00,1310.85,1310.85,1310.85,1310.85,1,12602,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:33:00,1310.8,1311.3,1310.8,1311.3,7,12604,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:34:00,1311.5,1311.5,1311.25,1311.25,4,12602,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:35:00,1311.55,1311.6,1311.1,1311.1,9,12604,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:36:00,1311.2,1311.2,1311.2,1311.2,1,12604,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:37:00,1311.3,1311.6,1311.3,1311.5,11,12605,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:38:00,1311.6,1311.6,1311.6,1311.6,2,12603,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:39:00,1311.65,1312.0,1311.65,1312.0,14,12603,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:40:00,1312.15,1312.25,1311.75,1311.85,19,12606,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:41:00,1312.2,1312.2,1311.95,1311.95,5,12607,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:42:00,1311.85,1311.85,1311.7,1311.7,4,12607,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:43:00,1312.0,1312.2,1312.0,1312.2,7,12609,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:44:00,1312.25,1312.85,1312.0,1312.85,22,12600,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:45:00,1312.75,1313.65,1312.75,1313.65,35,12582,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:46:00,1313.05,1313.05,1312.6,1312.6,10,12583,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:47:00,1312.5,1313.0,1312.5,1312.5,10,12580,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:48:00,1312.9,1313.45,1312.9,1313.0,29,12570,COPPER,COPPER26JUNFUT,FUT
2026-06-22 09:49:00,1312.75,1313.2,1312.65,1312.65,6,12568,COPPER,COPPER26JUNFUT,FUT
