datetime,name,open,high,low,close,volume,oi,symbol
2026-03-13 09:15:00,BANKNIFTY,54592.05,54713.75,54556.3,54647.9,0,0,BANKNIFTY
2026-03-13 09:16:00,BANKNIFTY,54645.75,54653.6,54584.35,54595.25,0,0,BANKNIFTY
2026-03-13 09:17:00,BANKNIFTY,54591.95,54596.5,54552.8,54555.65,0,0,BANKNIFTY
2026-03-13 09:18:00,BANKNIFTY,54556.9,54590.15,54513.35,54525.05,0,0,BANKNIFTY
2026-03-13 09:19:00,BANKNIFTY,54524.15,54545.55,54496.9,54528.25,0,0,BANKNIFTY
2026-03-13 09:20:00,BANKNIFTY,54529.8,54531.05,54445.95,54448.3,0,0,BANKNIFTY
2026-03-13 09:21:00,BANKNIFTY,54452.8,54504.4,54426.25,54496.55,0,0,BANKNIFTY
2026-03-13 09:22:00,BANKNIFTY,54498.45,54508.1,54452.2,54452.2,0,0,BANKNIFTY
2026-03-13 09:23:00,BANKNIFTY,54455.65,54455.65,54415.35,54437.8,0,0,BANKNIFTY
2026-03-13 09:24:00,BANKNIFTY,54441.95,54460.3,54420.6,54430.5,0,0,BANKNIFTY
2026-03-13 09:25:00,BANKNIFTY,54437.55,54437.55,54361.6,54388.95,0,0,BANKNIFTY
2026-03-13 09:26:00,BANKNIFTY,54393.25,54454.6,54393.25,54432.75,0,0,BANKNIFTY
2026-03-13 09:27:00,BANKNIFTY,54440.1,54481.85,54436.0,54481.0,0,0,BANKNIFTY
2026-03-13 09:28:00,BANKNIFTY,54485.9,54513.2,54465.6,54511.2,0,0,BANKNIFTY
2026-03-13 09:29:00,BANKNIFTY,54517.3,54537.45,54501.7,54503.9,0,0,BANKNIFTY
2026-03-13 09:30:00,BANKNIFTY,54509.25,54509.25,54483.0,54497.8,0,0,BANKNIFTY
2026-03-13 09:31:00,BANKNIFTY,54504.5,54543.6,54497.8,54533.4,0,0,BANKNIFTY
2026-03-13 09:32:00,BANKNIFTY,54535.05,54536.6,54469.95,54485.85,0,0,BANKNIFTY
2026-03-13 09:33:00,BANKNIFTY,54493.3,54530.85,54493.3,54512.45,0,0,BANKNIFTY
2026-03-13 09:34:00,BANKNIFTY,54517.45,54519.65,54487.2,54496.8,0,0,BANKNIFTY
2026-03-13 09:35:00,BANKNIFTY,54502.45,54502.45,54476.3,54482.25,0,0,BANKNIFTY
2026-03-13 09:36:00,BANKNIFTY,54483.9,54490.95,54465.9,54467.9,0,0,BANKNIFTY
2026-03-13 09:37:00,BANKNIFTY,54468.5,54474.45,54446.1,54466.15,0,0,BANKNIFTY
2026-03-13 09:38:00,BANKNIFTY,54472.4,54524.05,54471.15,54491.55,0,0,BANKNIFTY
2026-03-13 09:39:00,BANKNIFTY,54494.1,54501.6,54467.55,54486.2,0,0,BANKNIFTY
2026-03-13 09:40:00,BANKNIFTY,54489.45,54503.9,54474.2,54482.85,0,0,BANKNIFTY
2026-03-13 09:41:00,BANKNIFTY,54483.5,54483.5,54450.8,54460.85,0,0,BANKNIFTY
2026-03-13 09:42:00,BANKNIFTY,54459.2,54462.1,54447.4,54451.65,0,0,BANKNIFTY
2026-03-13 09:43:00,BANKNIFTY,54450.6,54459.25,54437.3,54456.8,0,0,BANKNIFTY
2026-03-13 09:44:00,BANKNIFTY,54454.0,54463.85,54407.4,54412.85,0,0,BANKNIFTY
2026-03-13 09:45:00,BANKNIFTY,54416.25,54417.5,54363.05,54366.4,0,0,BANKNIFTY
2026-03-13 09:46:00,BANKNIFTY,54372.4,54372.4,54305.5,54309.25,0,0,BANKNIFTY
2026-03-13 09:47:00,BANKNIFTY,54309.4,54315.85,54267.2,54279.05,0,0,BANKNIFTY
2026-03-13 09:48:00,BANKNIFTY,54277.85,54319.7,54263.3,54299.65,0,0,BANKNIFTY
2026-03-13 09:49:00,BANKNIFTY,54303.1,54317.75,54279.6,54282.3,0,0,BANKNIFTY
2026-03-13 09:50:00,BANKNIFTY,54281.35,54281.9,54254.0,54257.75,0,0,BANKNIFTY
2026-03-13 09:51:00,BANKNIFTY,54260.3,54260.8,54216.3,54225.75,0,0,BANKNIFTY
2026-03-13 09:52:00,BANKNIFTY,54230.25,54230.25,54183.8,54210.9,0,0,BANKNIFTY
2026-03-13 09:53:00,BANKNIFTY,54214.75,54254.65,54213.7,54254.1,0,0,BANKNIFTY
2026-03-13 09:54:00,BANKNIFTY,54253.45,54255.5,54222.3,54231.25,0,0,BANKNIFTY
2026-03-13 09:55:00,BANKNIFTY,54233.05,54234.15,54212.55,54229.85,0,0,BANKNIFTY
2026-03-13 09:56:00,BANKNIFTY,54232.45,54257.95,54227.45,54231.25,0,0,BANKNIFTY
2026-03-13 09:57:00,BANKNIFTY,54234.6,54258.35,54230.3,54234.75,0,0,BANKNIFTY
2026-03-13 09:58:00,BANKNIFTY,54238.85,54238.85,54159.65,54162.6,0,0,BANKNIFTY
2026-03-13 09:59:00,BANKNIFTY,54159.15,54168.6,54132.9,54136.15,0,0,BANKNIFTY
2026-03-13 10:00:00,BANKNIFTY,54137.05,54148.35,54129.0,54135.8,0,0,BANKNIFTY
2026-03-13 10:01:00,BANKNIFTY,54140.1,54155.3,54132.7,54139.0,0,0,BANKNIFTY
2026-03-13 10:02:00,BANKNIFTY,54142.6,54189.35,54140.65,54185.8,0,0,BANKNIFTY
2026-03-13 10:03:00,BANKNIFTY,54188.2,54192.6,54173.8,54191.55,0,0,BANKNIFTY
2026-03-13 10:04:00,BANKNIFTY,54192.4,54208.45,54183.1,54205.4,0,0,BANKNIFTY
