datetime,name,open,high,low,close,volume,oi,symbol,exp,strike,type
2025-07-31 09:15:00,ACC,1810.1,1813.0,1803.5,1804.7,9187,0,ACC,,0.0,EQ
2025-07-31 09:16:00,ACC,1804.7,1804.7,1798.6,1799.9,7414,0,ACC,,0.0,EQ
2025-07-31 09:17:00,ACC,1799.9,1802.0,1797.7,1801.4,9573,0,ACC,,0.0,EQ
2025-07-31 09:18:00,ACC,1801.4,1807.8,1801.4,1807.7,7932,0,ACC,,0.0,EQ
2025-07-31 09:19:00,ACC,1806.4,1807.8,1806.0,1806.2,1999,0,ACC,,0.0,EQ
2025-07-31 09:20:00,ACC,1806.0,1808.1,1805.6,1807.5,5365,0,ACC,,0.0,EQ
2025-07-31 09:21:00,ACC,1806.1,1810.7,1806.1,1810.6,4180,0,ACC,,0.0,EQ
2025-07-31 09:22:00,ACC,1810.0,1811.4,1809.7,1810.2,6776,0,ACC,,0.0,EQ
2025-07-31 09:23:00,ACC,1809.5,1811.7,1809.5,1811.7,7409,0,ACC,,0.0,EQ
2025-07-31 09:24:00,ACC,1811.7,1815.4,1810.8,1814.8,5744,0,ACC,,0.0,EQ
2025-07-31 09:25:00,ACC,1814.8,1814.8,1811.0,1811.0,4125,0,ACC,,0.0,EQ
2025-07-31 09:26:00,ACC,1811.0,1811.8,1810.1,1811.8,2246,0,ACC,,0.0,EQ
2025-07-31 09:27:00,ACC,1811.7,1814.5,1811.5,1813.9,5474,0,ACC,,0.0,EQ
2025-07-31 09:28:00,ACC,1814.1,1815.1,1812.2,1815.1,5204,0,ACC,,0.0,EQ
2025-07-31 09:29:00,ACC,1814.8,1816.0,1813.5,1815.2,2810,0,ACC,,0.0,EQ
2025-07-31 09:30:00,ACC,1815.0,1815.1,1813.1,1813.6,1783,0,ACC,,0.0,EQ
2025-07-31 09:31:00,ACC,1813.6,1815.0,1813.0,1814.9,2408,0,ACC,,0.0,EQ
2025-07-31 09:32:00,ACC,1814.4,1815.7,1813.0,1815.5,5709,0,ACC,,0.0,EQ
2025-07-31 09:33:00,ACC,1815.5,1816.5,1813.5,1813.5,4079,0,ACC,,0.0,EQ
2025-07-31 09:34:00,ACC,1814.2,1814.2,1813.0,1813.2,889,0,ACC,,0.0,EQ
2025-07-31 09:35:00,ACC,1812.7,1812.8,1808.0,1808.0,6817,0,ACC,,0.0,EQ
2025-07-31 09:36:00,ACC,1808.0,1810.4,1807.4,1810.2,1481,0,ACC,,0.0,EQ
2025-07-31 09:37:00,ACC,1809.8,1809.8,1805.2,1806.0,3189,0,ACC,,0.0,EQ
2025-07-31 09:38:00,ACC,1805.7,1806.0,1801.5,1802.8,7254,0,ACC,,0.0,EQ
2025-07-31 09:39:00,ACC,1802.5,1802.5,1801.2,1801.3,2270,0,ACC,,0.0,EQ
2025-07-31 09:40:00,ACC,1801.4,1802.5,1801.0,1802.5,3788,0,ACC,,0.0,EQ
2025-07-31 09:41:00,ACC,1801.7,1802.0,1800.0,1802.0,12439,0,ACC,,0.0,EQ
2025-07-31 09:42:00,ACC,1802.7,1802.7,1796.6,1798.6,15020,0,ACC,,0.0,EQ
2025-07-31 09:43:00,ACC,1798.3,1799.1,1797.0,1798.6,7818,0,ACC,,0.0,EQ
2025-07-31 09:44:00,ACC,1799.2,1799.3,1798.0,1798.3,2228,0,ACC,,0.0,EQ
2025-07-31 09:45:00,ACC,1799.7,1799.7,1797.1,1798.2,7526,0,ACC,,0.0,EQ
2025-07-31 09:46:00,ACC,1798.2,1799.4,1797.5,1798.3,8240,0,ACC,,0.0,EQ
2025-07-31 09:47:00,ACC,1798.3,1801.0,1798.3,1800.2,4050,0,ACC,,0.0,EQ
2025-07-31 09:48:00,ACC,1799.8,1801.7,1799.0,1800.0,4614,0,ACC,,0.0,EQ
2025-07-31 09:49:00,ACC,1799.6,1801.9,1798.3,1801.9,2280,0,ACC,,0.0,EQ
2025-07-31 09:50:00,ACC,1801.8,1802.0,1799.6,1800.7,1762,0,ACC,,0.0,EQ
2025-07-31 09:51:00,ACC,1800.6,1801.8,1800.2,1801.0,1564,0,ACC,,0.0,EQ
2025-07-31 09:52:00,ACC,1801.1,1801.8,1801.0,1801.2,437,0,ACC,,0.0,EQ
2025-07-31 09:53:00,ACC,1800.4,1801.3,1800.0,1801.2,1978,0,ACC,,0.0,EQ
2025-07-31 09:54:00,ACC,1801.1,1801.3,1800.2,1801.3,936,0,ACC,,0.0,EQ
2025-07-31 09:55:00,ACC,1801.3,1801.9,1801.0,1801.8,926,0,ACC,,0.0,EQ
2025-07-31 09:56:00,ACC,1801.8,1801.9,1800.0,1801.5,4497,0,ACC,,0.0,EQ
2025-07-31 09:57:00,ACC,1800.8,1801.8,1800.4,1801.6,1470,0,ACC,,0.0,EQ
2025-07-31 09:58:00,ACC,1800.5,1801.9,1800.3,1800.9,1279,0,ACC,,0.0,EQ
2025-07-31 09:59:00,ACC,1801.3,1802.0,1800.6,1801.4,1274,0,ACC,,0.0,EQ
2025-07-31 10:00:00,ACC,1801.4,1801.4,1797.0,1797.2,4944,0,ACC,,0.0,EQ
2025-07-31 10:01:00,ACC,1796.1,1797.4,1796.0,1796.0,2085,0,ACC,,0.0,EQ
2025-07-31 10:02:00,ACC,1795.9,1796.0,1792.5,1794.8,3410,0,ACC,,0.0,EQ
2025-07-31 10:03:00,ACC,1794.8,1795.0,1792.0,1795.0,3995,0,ACC,,0.0,EQ
2025-07-31 10:04:00,ACC,1795.2,1795.6,1794.0,1794.3,1645,0,ACC,,0.0,EQ
